Model,Feature_Set,Average SHAP,SHAP Std Dev,Stability Score (Avg/Std)
KMeans_k=2,All Features,0.03766148637962786,0.0035688253776585757,10.552908140419214
KMeans_k=2,Selected Features,0.06769545167790807,0.01739778739778097,3.891037988344564
KMeans_k=5,All Features,0.049071274031815444,0.0019813122213846,24.767057661171126
KMeans_k=5,Selected Features,0.09003884665115305,0.004250403231213299,21.183601120463813
KMeans_k=6,All Features,0.04870535218010364,0.003886782289414382,12.531021434555841
KMeans_k=6,Selected Features,0.0889542860029414,0.0019537619354160754,45.5297466853338
KMeans_k=7,All Features,0.04952891956943888,0.004541792590501184,10.905147820493802
KMeans_k=7,Selected Features,0.0912308172777425,0.006015678112179564,15.165508455818674
KMedoids_k=2,All Features,0.0378126481569353,0.0034952455269114287,10.818309576766248
KMedoids_k=2,Selected Features,0.06858540877068028,0.008702208707068972,7.881379438184128
KMedoids_k=5,All Features,0.041600919272089594,0.00226541816355105,18.36346151956336
KMedoids_k=5,Selected Features,0.07990519368774676,0.004047902619985445,19.73990018762706
KMedoids_k=6,All Features,0.04351553287151493,0.002924647730052511,14.878897182852729
KMedoids_k=6,Selected Features,0.08437054817292838,0.0037640437306493135,22.414869276339175
KMedoids_k=7,All Features,0.04335323963877907,0.0023592091239435825,18.376174964223228
KMedoids_k=7,Selected Features,0.08778265201083506,0.0043138290582074666,20.349126223214682
GMM_k=6,All Features,0.049226733922542724,0.0030914912398156587,15.923297238739078
GMM_k=6,Selected Features,0.08682188789355068,0.0062970766450917955,13.787649855147196
GMM_k=7,All Features,0.050221603725936634,0.005017921587547,10.008447292315573
GMM_k=7,Selected Features,0.0857793479156312,0.007417283132199714,11.564793521666735
